"","Year","sets","BUM","lat","lon","hbf","season"
"1",1990,2,0,-3,-14,3,1
"2",1990,19,15,-8.5,-12.5,3,1
"3",1990,22,7,-33.5,-51.5,3,2
"4",1990,5,2,-32.5,-51.5,3,2
"5",1990,9,0,-36.5,-11.5,3,3
"6",1990,7,0,-26.5,14.5,3,3
"7",1991,2,0,-27,5.5,3,1
"8",1991,1,0,-34.5,17.5,3,1
"9",1991,3,0,-35.5,0.5,3,1
"10",1991,4,1,-31,13,3,2
"11",1991,3,0,-32.5,-36.5,3,3
"12",1991,20,0,-38.5,-3,3,3
"13",1991,11,1,-31.5,11.5,3,3
"14",1992,6,0,-16.5,8.5,3,4
"15",1992,1,0,-27.5,-12.5,3,1
"16",1992,23,4,-26.5,1.5,3,1
"17",1992,3,0,-18.5,2.5,3,3
"18",1993,1,0,-20.5,0.5,3,2
"19",1993,1,1,-31.5,0.5,3,2
"20",1993,8,0,-37.5,12,3,2
"21",1993,4,0,-8,2,3,2
"22",1993,3,0,-27.5,11.5,3,3
"23",1993,28,0,-36.5,-7.5,3,3
"24",1994,3,0,-35.5,-39.5,3,2
"25",1994,21,2,-33.5,7.5,3,2
"26",1994,5,2,-16.5,2.5,3,2
"27",1994,7,1,-31.5,7.5,3,2
"28",1994,2,0,-35.5,2.5,3,3
"29",1995,2,0,-4,-12,3,2
"30",1996,20,34,-7.5,-18.5,3,1
"31",1996,7,0,-33.5,16.5,3,4
"32",1996,20,14,-9.5,-17,3,4
"33",1996,20,18,-7.5,-17,3,4
"34",1996,20,6,-19.5,3.5,3,4
"35",1996,4,1,-5.5,-0.5,3,4
"36",1996,20,3,-13.5,3.5,3,1
"37",1996,20,0,-40.5,8.5,3,2
"38",1996,20,0,-44.5,3.5,3,2
"39",1996,20,0,-41.5,4.5,3,2
"40",1996,20,0,-19.5,10.5,3,3
"41",1997,20,20,-8.5,-14.5,3,1
"42",1997,20,5,-6.5,-8.5,3,2
"43",1997,42,1,-17.5,10.5,3,3
"44",1998,20,1,-16.5,6.5,3,4
"45",1998,20,1,-15.5,6.5,3,4
"46",1998,20,0,-19.5,9.5,3,4
"47",1998,20,0,-18.5,6.5,3,4
"48",1998,2,0,-22.5,2.5,3,4
"49",1998,4,0,-23,1.5,3,2
"50",1998,20,0,-43.5,0.5,3,2
"51",1998,20,0,-40.5,1.5,3,2
"52",1998,20,0,-40.5,3.5,3,2
"53",1998,20,0,-44.5,4.5,3,2
"54",1998,11,0,-47.5,16.5,3,2
"55",1998,20,0,-16.5,10.5,3,3
"56",1998,20,1,-15.5,7,3,3
"57",1999,20,2,-6.5,-1.5,3,1
"58",1999,20,3,-8.5,-2.5,3,1
"59",1999,1,0,-35.5,17.5,3,4
"60",1999,20,2,-9.5,0.5,3,4
"61",1999,20,3,-5.5,3.5,3,4
"62",1999,20,10,-13.5,-8.5,3,1
"63",1999,20,0,-43.5,-3.5,3,2
"64",1999,20,0,-41.5,-2.5,3,2
"65",1999,20,24,-9.5,-21.5,3,2
"66",1999,17,3,-7.5,-3.5,3,3
"67",1999,13,0,-36.5,12.5,3,3
"68",1999,20,0,-29.5,7.5,3,3
"69",2000,12,1,-32.5,-48.5,3,4
