Year,area,season,lat,lon,hbf,BUM,SWO,sets,fleet
1990,S,1,-3,-14,3,0,0,2,2
1990,N,1,13.5,-22.5,3,4,2,23,2
1990,N,1,18,-23.5,3,0,3,8,2
1990,N,1,30.5,-40.5,3,0,0,1,2
1990,N,1,44.5,-41.5,3,0,2,9,2
1990,N,1,44.5,-59,3,0,0,20,2
1990,N,1,41.5,-56.5,3,0,7,20,2
1990,N,4,41.5,-63.5,3,1,10,41,2
1990,N,4,41.5,-43.5,3,7,4,20,2
1990,N,4,43.5,-42.5,3,2,9,20,2
1990,N,4,44.5,-51,3,0,0,12,2
1990,N,4,47.5,-39.5,3,0,12,20,2
1990,N,4,48.5,-44.5,3,0,14,20,2
1990,N,1,27.5,-58.5,3,1,0,5,2
1990,N,1,33.5,-31.5,3,0,0,1,2
1990,N,1,30.5,-58.5,3,6,5,20,2
1990,N,1,37.5,-37.5,3,6,8,41,2
1990,S,1,-8.5,-12.5,3,15,11,19,2
1990,N,1,3.5,-17.5,3,1,0,1,2
1990,N,1,29.5,-13.5,3,7,22,51,2
1990,N,1,31.5,-22.5,3,1,6,15,2
1990,N,1,32.5,-55.5,3,3,6,20,2
1990,N,1,37.5,-17.5,3,1,8,31,2
1990,S,2,-33.5,-51.5,3,7,2,22,2
1990,N,2,32.5,-19.5,3,2,5,20,2
1990,N,2,34,-17.5,3,1,7,20,2
1990,N,2,38.5,-16.5,3,0,10,20,2
1990,N,2,36.5,-31.5,3,0,0,1,2
1990,S,2,-32.5,-51.5,3,2,0,5,2
1990,N,2,37.5,-20.5,3,0,2,3,2
1990,N,2,5.5,-18.5,3,1,0,1,2
1990,S,3,-36.5,-11.5,3,0,2,9,2
1990,N,3,12.5,-29.5,3,0,1,1,2
1990,N,3,2,-6.5,3,0,1,2,2
1990,S,3,-26.5,14.5,3,0,4,7,2
1991,N,1,41.5,-62.5,3,0,31,87,2
1991,N,4,41.5,-41.5,3,4,8,20,2
1991,N,4,49.5,-39.5,3,0,7,20,2
1991,N,4,46.5,-41.5,3,0,9,20,2
1991,N,4,46.5,-44.5,3,0,1,20,2
1991,N,4,43.5,-43.5,3,1,4,20,2
1991,N,4,42.5,-47.5,3,1,11,44,2
1991,N,4,42.5,-54.5,3,1,9,20,2
1991,N,4,49.5,-39.5,3,0,13,20,2
1991,N,4,48.5,-39.5,3,0,11,20,2
1991,S,1,-27,5.5,3,0,1,2,2
1991,N,1,37.5,-28.5,3,0,4,48,2
1991,S,1,-34.5,17.5,3,0,1,1,2
1991,S,1,-35.5,0.5,3,0,5,3,2
1991,N,1,32.5,-53.5,3,11,8,35,2
1991,S,2,-31,13,3,1,1,4,2
1991,N,2,33.5,-11.5,3,0,4,20,2
1991,N,2,34.5,-15.5,3,0,0,1,2
1991,N,2,35.5,-12.5,3,1,4,20,2
1991,N,2,39.5,-18.5,3,0,8,20,2
1991,S,3,-32.5,-36.5,3,0,0,3,2
1991,S,3,-38.5,-3,3,0,5,20,2
1991,S,3,-31.5,11.5,3,1,4,11,2
1992,N,1,30.5,-33.5,3,0,0,1,2
1992,N,1,44.5,-51.5,3,0,0,18,2
1992,N,4,42.5,-56.5,3,2,6,16,2
1992,S,4,-16.5,8.5,3,0,1,6,2
1992,N,4,47.5,-37.5,3,2,15,48,2
1992,N,4,44,-52.5,3,0,0,20,2
1992,N,1,42.5,-38.5,3,1,4,24,2
1992,S,1,-27.5,-12.5,3,0,0,1,2
1992,S,1,-26.5,1.5,3,4,8,23,2
