reefpres,Location,MPA,Sharks,Zone
0,Glovers,1,No,Not fished
0,Glovers,1,No,Not fished
1,Glovers,1,Yes,Not fished
1,Glovers,1,Yes,Not fished
1,Glovers,1,Yes,Not fished
0,Glovers,1,No,Not fished
0,Glovers,1,No,Not fished
1,Glovers,1,Yes,Not fished
0,Glovers,1,No,Not fished
0,Glovers,1,No,Not fished
0,Glovers,1,No,Not fished
0,Glovers,1,No,Not fished
0,Glovers,1,No,Not fished
0,Glovers,1,No,Not fished
0,Glovers,1,No,Not fished
1,Glovers,1,Yes,Not fished
1,Glovers,1,Yes,Not fished
0,Glovers,1,No,Not fished
0,Glovers,1,No,Not fished
0,Glovers,1,No,Not fished
0,Glovers,1,No,Not fished
1,Glovers,1,Yes,Not fished
1,Glovers,1,Yes,Not fished
0,Glovers,1,No,Not fished
1,Glovers,1,Yes,Not fished
0,Glovers,1,No,Not fished
0,Glovers,1,No,Not fished
0,Glovers,1,No,Not fished
0,Glovers,1,No,Not fished
1,Glovers,1,Yes,Not fished
0,Turneffe,0,No,Fished
0,Turneffe,0,No,Fished
0,Turneffe,0,No,Fished
0,Turneffe,0,No,Fished
0,Turneffe,0,No,Fished
0,Turneffe,0,No,Fished
0,Turneffe,0,No,Fished
0,Turneffe,0,No,Fished
0,Turneffe,0,No,Fished
0,Turneffe,0,No,Fished
0,Turneffe,0,No,Fished
0,Turneffe,0,No,Fished
0,Turneffe,0,No,Fished
0,Turneffe,0,No,Fished
0,Turneffe,0,No,Fished
0,Turneffe,0,No,Fished
1,Turneffe,0,Yes,Fished
0,Turneffe,0,No,Fished
0,Turneffe,0,No,Fished
0,Turneffe,0,No,Fished
1,Turneffe,0,Yes,Fished
0,Turneffe,0,No,Fished
0,Turneffe,0,No,Fished
0,Turneffe,0,No,Fished
0,Turneffe,0,No,Fished
0,Turneffe,0,No,Fished
1,Turneffe,0,Yes,Fished
0,Turneffe,0,No,Fished
0,Turneffe,0,No,Fished
0,Turneffe,0,No,Fished
