Year,Population
200,190000000
600,200000000
700,210000000
800,220000000
900,240000000
1000,275000000
1100,320000000
1400,350000000
1200,360000000
1500,450000000
1650,500000000
1700,610000000
1760,770000000
1804,1000000000
1850,1200000000
1900,1600000000
1927,2000000000
1950,2493092848
1951,2536927035
1952,2584086339
1953,2634106235
1954,2685894860
1955,2740213792
1956,2795409994
1957,2852618337
1958,2911249671
1959,2965950351
1960,3015470894
1961,3064869675
1962,3123374315
1963,3192807828
1964,3264487339
1965,3334533703
1966,3404041125
1967,3473412880
1968,3545187251
1969,3619491579
1970,3694683794
1971,3769847865
1972,3844917680
1973,3920805042
1974,3996416096
1975,4070735277
1976,4144246377
1977,4217863796
1978,4292097502
1979,4368539528
1980,4447606236
1981,4528777306
1982,4612673421
1983,4697327573
1984,4782175519
1985,4868943465
1986,4958072838
1987,5049746397
1988,5141992542
1989,5234431732
1990,5327803110
1991,5418735891
1992,5505989816
1993,5591544797
1994,5675551255
1995,5758878982
1996,5842055734
1997,5924787816
1998,6007066690
1999,6089006339
2000,6171702993
2001,6254936459
2002,6337730342
2003,6420361634
2004,6503377772
2005,6586970132
2006,6671452015
2007,6757308781
2008,6844457662
2009,6932766416
2010,7021732148
2011,7110923765
2012,7201202485
2013,7291793585
2014,7381616244
2015,7470491872
2016,7558554526
2017,7645617954
2018,7729902781
2019,7811293698
2020,7887001292
2021,7954448391
2022,8021407192
2023,8091734930
2024,8161972572
2025,8231613070
