Cruise,Stratum,Tow,Num,Weight,Season,area
200604,1130,1,2,0.3,Spring,0.01
200604,1130,2,4,1.18,Spring,0.01
200604,1130,3,6,0.78,Spring,0.01
200604,1130,4,0,0,Spring,0.01
200604,1130,5,0,0,Spring,0.01
200604,1130,6,5,0.18,Spring,0.01
200604,1130,7,2,0.36,Spring,0.01
200604,1130,8,6,0.74,Spring,0.01
200604,1130,9,0,0,Spring,0.01
200604,1140,1,0,0,Spring,0.01
200604,1140,2,1,0.24,Spring,0.01
200604,1140,3,0,0,Spring,0.01
200604,1150,1,0,0,Spring,0.01
200604,1160,1,26,8.5,Spring,0.01
200604,1160,2,24,8.32,Spring,0.01
200604,1160,3,43,14.8,Spring,0.01
200604,1160,4,46,15.977,Spring,0.01
200604,1160,5,24,8.239,Spring,0.01
200604,1160,6,3,0.868,Spring,0.01
200604,1160,7,24,9.4,Spring,0.01
200604,1160,8,34,10.6,Spring,0.01
200604,1160,9,7,2.16,Spring,0.01
200604,1160,10,4,1.1,Spring,0.01
200604,1160,11,0,0,Spring,0.01
200604,1160,12,0,0,Spring,0.01
200604,1160,13,0,0,Spring,0.01
200604,1160,14,0,0,Spring,0.01
200604,1160,15,0,0,Spring,0.01
200604,1160,16,0,0,Spring,0.01
200604,1160,17,0,0,Spring,0.01
200604,1160,18,0,0,Spring,0.01
200604,1160,19,0,0,Spring,0.01
200604,1160,20,0,0,Spring,0.01
200604,1170,1,0,0,Spring,0.01
200604,1170,2,0,0,Spring,0.01
200604,1170,3,0,0,Spring,0.01
200604,1180,1,0,0,Spring,0.01
200604,1190,1,0,0,Spring,0.01
200604,1190,2,0,0,Spring,0.01
200604,1190,3,1,0.4,Spring,0.01
200604,1190,4,0,0,Spring,0.01
200604,1190,5,0,0,Spring,0.01
200604,1190,6,6,2.54,Spring,0.01
200604,1190,7,0,0,Spring,0.01
200604,1190,8,4,0.24,Spring,0.01
200604,1190,9,0,0,Spring,0.01
200604,1200,1,0,0,Spring,0.01
200604,1200,2,0,0,Spring,0.01
200604,1200,3,0,0,Spring,0.01
200604,1200,4,1,0.003,Spring,0.01
200604,1200,5,7,2.86,Spring,0.01
200604,1200,6,1,0.004,Spring,0.01
200604,1210,1,1,0.115,Spring,0.01
200604,1210,2,0,0,Spring,0.01
200604,1210,3,0,0,Spring,0.01
200604,1210,4,2,0.32,Spring,0.01
200610,1130,2,47,8.36,Fall,0.01
200610,1130,3,34,4.531,Fall,0.01
200610,1130,4,41,9.62,Fall,0.01
200610,1130,5,138,21.98,Fall,0.01
200610,1130,6,3,0.32,Fall,0.01
200610,1130,7,1,0.26,Fall,0.01
200610,1130,8,2,0.32,Fall,0.01
200610,1130,9,37,10.538,Fall,0.01
200610,1140,1,0,0,Fall,0.01
200610,1140,2,0,0,Fall,0.01
200610,1140,3,0,0,Fall,0.01
200610,1150,1,0,0,Fall,0.01
200610,1160,1,0,0,Fall,0.01
200610,1160,2,5,1.56,Fall,0.01
200610,1160,3,1,0.18,Fall,0.01
200610,1160,4,26,10.7,Fall,0.01
200610,1160,5,0,0,Fall,0.01
200610,1160,6,2,0.42,Fall,0.01
200610,1160,7,194,57.04,Fall,0.01
200610,1160,8,0,0,Fall,0.01
200610,1160,9,16,3.352,Fall,0.01
200610,1160,10,0,0,Fall,0.01
200610,1160,11,31,13.3,Fall,0.01
200610,1160,12,124,38.32,Fall,0.01
200610,1160,13,2,0.32,Fall,0.01
200610,1160,14,17,6.08,Fall,0.01
200610,1160,15,127,43.82,Fall,0.01
200610,1160,16,2,0.9,Fall,0.01
200610,1160,17,12,3.84,Fall,0.01
200610,1160,18,7,1.48,Fall,0.01
200610,1160,19,25,3.94,Fall,0.01
200610,1160,20,129,37.54,Fall,0.01
200610,1170,1,0,0,Fall,0.01
200610,1170,2,15,3.2,Fall,0.01
200610,1170,3,0,0,Fall,0.01
200610,1180,1,1,0.16,Fall,0.01
200610,1190,1,5,0.92,Fall,0.01
200610,1190,2,0,0,Fall,0.01
200610,1190,3,0,0,Fall,0.01
200610,1190,4,0,0,Fall,0.01
200610,1190,5,0,0,Fall,0.01
200610,1190,6,0,0,Fall,0.01
200610,1190,7,0,0,Fall,0.01
200610,1190,8,0,0,Fall,0.01
200610,1190,9,0,0,Fall,0.01
200610,1200,1,0,0,Fall,0.01
200610,1200,2,0,0,Fall,0.01
200610,1200,3,1,0.132,Fall,0.01
200610,1200,4,0,0,Fall,0.01
200610,1200,5,0,0,Fall,0.01
200610,1200,6,0,0,Fall,0.01
200610,1210,1,1,0.2,Fall,0.01
200610,1210,2,5,1.28,Fall,0.01
200610,1210,3,1,0.52,Fall,0.01
200610,1210,4,9,2.964,Fall,0.01
